name,pos,team,proj,fp_proj_4pt,rescore_delta
Tucker Kraft,TE,GB,145.2,145.2,0.0
Kyle Monangai,RB,CHI,144.6,144.5,0.1
Jayden Reed,WR,GB,144.6,144.9,-0.3
Deebo Samuel Sr.,WR,SF,144.4,144.0,0.4
Travis Kelce,TE,KC,144.1,144.4,-0.3
Kenny Gainwell,RB,TB,143.5,143.4,0.1
Shedeur Sanders,QB,CLE,143.1,131.8,11.3
Michael Wilson,WR,ARI,143.1,142.9,0.2
Quentin Johnston,WR,LAC,143.0,143.0,0.0
Chris Godwin Jr.,WR,TB,142.0,141.9,0.1
Jordan Addison,WR,MIN,141.5,141.3,0.2
Jordyn Tyson,WR,NO,140.8,140.9,-0.1
Stefon Diggs,WR,WAS,140.7,140.7,0.0
Xavier Worthy,WR,KC,139.9,139.7,0.2
Jacory Croskey-Merritt,RB,WAS,138.5,138.0,0.5
George Kittle,TE,SF,138.5,138.6,-0.1
Josh Downs,WR,IND,136.3,136.4,-0.1
Khalil Shakir,WR,BUF,135.2,135.6,-0.4
Isaiah Likely,TE,NYG,134.1,133.9,0.2
Mark Andrews,TE,BAL,134.0,134.0,0.0
Makai Lemon,WR,PHI,133.9,134.0,-0.1
Romeo Doubs,WR,NE,132.5,132.5,0.0
Rashid Shaheed,WR,SEA,132.3,131.7,0.6
Dalton Kincaid,TE,BUF,131.3,131.2,0.1
Jonathon Brooks,RB,CAR,131.2,131.4,-0.2
Jordan Mason,RB,MIN,131.1,131.3,-0.2
Blake Corum,RB,LAR,130.6,130.6,0.0
Jake Ferguson,TE,DAL,130.3,130.5,-0.2
John Metchie III,WR,CAR,130.0,130.4,-0.4
Matthew Golden,WR,GB,129.6,129.4,0.2
Calvin Ridley,WR,TEN,128.3,128.4,-0.1
Hunter Henry,TE,NE,125.5,125.5,0.0
Jalen Coker,WR,CAR,124.7,124.6,0.1
Juwan Johnson,TE,NO,122.2,121.9,0.3
Theo Wease Jr.,WR,MIA,121.4,121.4,0.0
Brenton Strange,TE,JAX,121.2,121.4,-0.2
Deshaun Watson,QB,CLE,117.5,108.0,9.5
Tre Tucker,WR,LV,117.5,116.9,0.6
Tank Dell,WR,HOU,116.1,116.3,-0.2
Dalton Schultz,TE,HOU,115.8,115.7,0.1
Jerry Jeudy,WR,CLE,115.4,115.1,0.3
KC Concepcion,WR,CLE,115.2,115.4,-0.2
Rashod Bateman,WR,BAL,114.4,114.3,0.1
Alvin Kamara,RB,NO,114.1,113.9,0.2
Tyjae Spears,RB,TEN,113.5,113.4,0.1
Jayden Higgins,WR,HOU,113.3,113.3,0.0
Zach Charbonnet,RB,SEA,113.1,113.2,-0.1
Woody Marks,RB,HOU,112.8,112.3,0.5
Jalen McMillan,WR,TB,110.3,110.6,-0.3
Jauan Jennings,WR,MIN,109.9,109.6,0.3
T.J. Hockenson,TE,MIN,108.8,108.7,0.1
Jalen Nailor,WR,LV,108.2,108.5,-0.3
Pat Freiermuth,TE,PIT,107.7,107.4,0.3
De'Zhaun Stribling,WR,SF,106.5,106.4,0.1
Tyrone Tracy Jr.,RB,NYG,106.5,106.7,-0.2
Greg Dulcich,TE,MIA,106.1,106.2,-0.1
Isiah Pacheco,RB,DET,105.3,105.4,-0.1
Kenyon Sadiq,TE,NYJ,104.6,104.5,0.1
Adonai Mitchell,WR,NYJ,103.6,103.8,-0.2
Antonio Williams,WR,WAS,103.3,103.2,0.1
Cade Otton,TE,TB,101.8,101.7,0.1
Cooper Kupp,WR,SEA,101.2,101.4,-0.2
AJ Barner,TE,SEA,100.3,100.1,0.2
Denzel Boston,WR,CLE,99.9,99.8,0.1
Justice Hill,RB,BAL,98.7,98.8,-0.1
Chig Okonkwo,TE,WAS,97.8,97.9,-0.1
Omar Cooper Jr.,WR,NYJ,97.5,97.3,0.2
Oronde Gadsden II,TE,LAC,96.7,96.7,0.0
Terrance Ferguson,TE,LAR,96.6,96.7,-0.1
Germie Bernard,WR,PIT,95.5,95.8,-0.3
Michael Penix Jr.,QB,ATL,94.3,83.6,10.7
Chris Rodriguez Jr.,RB,JAX,92.3,92.1,0.2
Mike Gesicki,TE,CIN,91.4,91.2,0.2
Travis Hunter,WR,JAX,91.1,90.8,0.3
Xavier Legette,WR,CAR,91.0,90.8,0.2
Evan Engram,TE,DEN,89.9,90.0,-0.1
Ja'Kobi Lane,WR,BAL,89.6,89.7,-0.1
Kayshon Boutte,WR,NE,89.6,89.5,0.1
Brian Robinson Jr.,RB,ATL,89.3,89.7,-0.4
Dylan Sampson,RB,CLE,88.6,88.7,-0.1
Samaje Perine,RB,CIN,87.7,87.4,0.3
Bub Means,WR,NO,87.4,87.4,0.0
Darnell Mooney,WR,NYG,87.2,87.5,-0.3
Tyler Allgeier,RB,ARI,87.1,86.8,0.3
Gunnar Helm,TE,TEN,87.0,87.0,0.0
AJ Dillon,RB,CAR,86.5,86.5,0.0
Malik Washington,WR,MIA,85.2,85.3,-0.1
Jordan James,RB,SF,84.0,83.7,0.3
Ty Johnson,RB,BUF,83.6,83.8,-0.2
Darius Slayton,WR,NYG,83.1,83.2,-0.1
Troy Franklin,WR,DEN,81.4,81.6,-0.2
Tyquan Thornton,WR,KC,80.1,80.0,0.1
Braelon Allen,RB,NYJ,79.8,79.5,0.3
Tory Horton,WR,SEA,79.3,79.0,0.3
Zachariah Branch,WR,ATL,79.3,79.4,-0.1
Christian Kirk,WR,SF,76.9,76.9,0.0
Devaughn Vele,WR,NO,76.5,76.7,-0.2
Mason Taylor,TE,NYJ,75.5,75.4,0.1
Colby Parkinson,TE,LAR,74.8,74.7,0.1
Emari Demercado,RB,KC,74.3,74.4,-0.1
Hollywood Brown,WR,PHI,74.2,73.9,0.3
Andrei Iosivas,WR,CIN,73.5,73.8,-0.3
David Njoku,TE,LAC,73.0,73.1,-0.1
Ryan Flournoy,WR,DAL,72.6,72.4,0.2
Isaac TeSlaa,WR,DET,72.3,72.4,-0.1
Tre' Harris,WR,LAC,72.3,72.2,0.1
Jalen Tolbert,WR,MIA,72.1,71.8,0.3
Chris Bell,WR,MIA,71.4,71.3,0.1
Caleb Douglas,WR,MIA,71.4,71.3,0.1
Michael Mayer,TE,LV,70.1,70.1,0.0
Mike Washington Jr.,RB,LV,69.8,70.1,-0.3
Dyami Brown,WR,WAS,69.6,69.4,0.2
Kaelon Black,RB,SF,68.6,68.6,0.0
Ted Hurst III,WR,TB,68.5,68.3,0.2
Treylon Burks,WR,WAS,66.9,66.8,0.1
Ashton Dulin,WR,IND,66.7,66.5,0.2
Tank Bigsby,RB,PHI,65.9,65.6,0.3
Jack Bech,WR,LV,65.2,65.2,0.0
Keaton Mitchell,RB,LAC,64.7,64.9,-0.2
Dawson Knox,TE,BUF,64.4,64.6,-0.2
Elic Ayomanor,WR,TEN,63.5,63.5,0.0
Theo Johnson,TE,NYG,62.5,62.4,0.1
Malik Davis,RB,DAL,62.4,62.4,0.0
Chimere Dike,WR,TEN,62.1,61.8,0.3
Jahan Dotson,WR,ATL,61.2,60.9,0.3
Adam Randall,RB,BAL,61.1,60.9,0.2
Jaylin Noel,WR,HOU,59.7,59.8,-0.1
Chris Brooks,RB,GB,59.2,59.3,-0.1
Darnell Washington,TE,PIT,59.0,58.6,0.4
MarShawn Lloyd,RB,GB,58.8,58.5,0.3
Pat Bryant,WR,DEN,58.2,58.3,-0.1
Tyler Higbee,TE,LAR,58.1,58.1,0.0
Savion Williams,WR,GB,57.0,57.0,0.0
Joshua Palmer,WR,BUF,56.1,56.3,-0.2
Kimani Vidal,RB,LAC,55.1,55.1,0.0
Luke McCaffrey,WR,WAS,54.4,54.4,0.0
Marvin Mims Jr.,WR,DEN,54.4,54.7,-0.3
Olamide Zaccheaus,WR,ATL,54.3,54.5,-0.2
KaVontae Turpin,WR,DAL,54.1,54.5,-0.4
Kirk Cousins,QB,LV,53.8,47.2,6.6
Dontayvion Wicks,WR,PHI,53.4,53.3,0.1
Ja'Tavion Sanders,TE,CAR,53.1,53.3,-0.2
Cole Kmet,TE,CHI,53.1,53.3,-0.2
James Conner,RB,ARI,52.5,52.5,0.0
Xavier Hutchinson,WR,HOU,52.3,52.4,-0.1
Noah Fant,TE,NO,51.0,50.8,0.2
Tommy Tremble,TE,CAR,50.5,50.3,0.2
DeMario Douglas,WR,NE,50.2,49.9,0.3
Calvin Austin III,WR,NYG,50.0,50.1,-0.1
Keon Coleman,WR,BUF,49.7,49.4,0.3
Jaylin Lane,WR,WAS,49.7,49.4,0.3
Elijah Sarratt,WR,BAL,49.6,49.4,0.2
Nick Westbrook-Ikhine,WR,IND,49.4,49.3,0.1
Will Kacmarek,TE,MIA,48.6,48.6,0.0
Jahdae Walker,WR,CHI,47.7,47.4,0.3
Emanuel Wilson,RB,SEA,47.3,47.4,-0.1
Jaylen Wright,RB,MIA,46.8,47.0,-0.2
Elijah Arroyo,TE,SEA,46.8,46.6,0.2
Erick All Jr.,TE,CIN,45.6,45.8,-0.2
Charlie Kolar,TE,LAC,44.9,45.3,-0.4
Jawhar Jordan,RB,HOU,44.6,44.8,-0.2
Austin Hooper,TE,ATL,44.3,44.4,-0.1
Cedric Tillman,WR,CLE,44.0,43.9,0.1
Demarcus Robinson,WR,SF,43.9,44.0,-0.1
Tutu Atwell,WR,MIA,43.7,43.2,0.5
Kyle Juszczyk,RB,SF,43.2,43.0,0.2
Josh Oliver,TE,MIN,42.9,42.8,0.1
Eli Stowers,TE,PHI,42.4,42.5,-0.1
Jaydon Blue,RB,DAL,42.1,42.1,0.0
Daniel Bellinger,TE,TEN,42.1,42.3,-0.2
Kevin Coleman Jr.,WR,MIA,41.4,41.2,0.2
Brock Wright,TE,DET,41.3,41.3,0.0
Noah Gray,TE,KC,40.4,40.3,0.1
Luke Musgrave,TE,GB,39.2,39.0,0.2
Kendrick Bourne,WR,ARI,39.1,38.9,0.2
Isaiah Davis,RB,NYJ,38.4,38.3,0.1
Jake Tonges,TE,SF,38.3,38.5,-0.2
Adam Trautman,TE,DEN,38.1,37.9,0.2
Kalif Raymond,WR,CHI,37.2,36.9,0.3
George Holani,RB,SEA,37.0,37.1,-0.1
Eli Raridon,TE,NE,36.8,37.1,-0.3
Cyrus Allen,WR,KC,35.8,35.6,0.2
Davis Allen,TE,LAR,35.6,35.4,0.2
Ben Sims,TE,MIA,35.4,35.2,0.2
Skyler Bell,WR,BUF,34.9,35.0,-0.1
LeQuint Allen Jr.,RB,JAX,34.8,34.9,-0.1
Marlin Klein,TE,HOU,34.7,34.7,0.0
Elijah Higgins,TE,ARI,34.2,34.5,-0.3
Sean Tucker,RB,TB,34.2,34.4,-0.2
John Bates,TE,WAS,34.0,34.3,-0.3
Bryce Lance,WR,NO,33.6,33.9,-0.3
Frank Gore Jr.,RB,BUF,33.5,33.5,0.0
Jordan Whittington,WR,LAR,33.3,33.6,-0.3
Roschon Johnson,RB,CHI,32.8,32.8,0.0
Ollie Gordon II,RB,MIA,32.4,32.7,-0.3
Ray Davis,RB,BUF,32.3,32.0,0.3
Jeremy Ruckert,TE,NYJ,32.2,32.0,0.2
