"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"De'Zhaun Stribling","SF","45.1","635.2","3.7","1.5","6.5","0.0","1.2","106.4"
"Adonai Mitchell","NYJ","41.5","610.8","3.5","2.2","11.2","0.1","0.5","103.8"
"Antonio Williams","WAS","43.7","597.5","3.6","3.0","18.7","0.1","1.2","103.2"
"Cooper Kupp","SEA","47.4","583.9","3.4","0.5","1.5","0.0","0.7","101.4"
"Denzel Boston","CLE","47.8","596.6","2.9","1.0","5.0","0.0","0.8","99.8"
"Omar Cooper Jr.","NYJ","46.3","550.9","3.3","2.1","12.5","0.1","1.2","97.3"
"Germie Bernard","PIT","44.6","550.8","3.1","2.1","10.8","0.0","0.8","95.8"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","90.8"
"Xavier Legette","CAR","41.7","500.5","3.2","2.1","10.8","0.1","0.4","90.8"
"Ja'Kobi Lane","BAL","31.9","506.2","3.9","1.5","8.5","0.0","0.6","89.7"
"Kayshon Boutte","NE","32.0","486.2","4.2","0.0","0.0","0.0","0.1","89.5"
"Darnell Mooney","NYG","35.9","526.5","2.7","1.1","6.0","0.0","0.1","87.5"
"Bub Means","NO","38.0","518.0","3.0","1.0","6.0","0.0","1.0","87.4"
"Malik Washington","MIA","43.5","390.5","2.3","13.4","80.2","0.7","0.8","85.3"
"Darius Slayton","NYG","34.8","512.7","2.5","1.6","8.6","0.0","0.7","83.2"
"Troy Franklin","DEN","37.0","396.4","3.9","3.0","10.8","0.0","0.6","81.6"
"Tyquan Thornton","KC","25.4","466.3","3.5","0.0","0.0","0.0","0.1","80.0"
"Zachariah Branch","ATL","38.3","471.3","2.3","0.0","0.0","0.0","0.4","79.4"
"Tory Horton","SEA","29.8","401.0","4.2","0.5","3.0","0.0","0.6","79.0"
"Christian Kirk","SF","36.1","428.0","2.7","0.0","0.0","0.0","0.1","76.9"
"Devaughn Vele","NO","35.1","423.3","2.8","0.0","0.0","0.0","0.1","76.7"
"Hollywood Brown","PHI","31.3","389.1","3.3","0.0","0.0","0.0","0.1","73.9"
"Andrei Iosivas","CIN","31.6","394.2","2.9","2.5","11.1","0.0","0.1","73.8"
"Ryan Flournoy","DAL","34.0","383.8","2.7","2.2","12.4","0.1","0.4","72.4"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"Tre' Harris","LAC","34.5","408.4","2.5","0.0","0.0","0.0","0.4","72.2"
"Jalen Tolbert","MIA","35.4","441.7","1.8","0.0","0.0","0.0","0.3","71.8"
"Chris Bell","MIA","34.2","448.9","1.7","0.0","0.0","0.0","0.4","71.3"
"Caleb Douglas","MIA","33.1","419.4","2.3","1.0","5.5","0.0","0.7","71.3"
"Dyami Brown","WAS","29.6","392.1","2.7","0.0","0.0","0.0","0.3","69.4"
"Ted Hurst III","TB","28.9","390.0","2.6","1.0","6.5","0.0","0.6","68.3"
"Treylon Burks","WAS","28.3","393.6","2.3","0.0","0.0","0.0","0.2","66.8"
"Ashton Dulin","IND","24.1","400.4","1.6","5.1","46.2","0.1","0.1","66.5"
"Jack Bech","LV","34.5","397.8","1.5","0.0","0.0","0.0","0.4","65.2"
"Elic Ayomanor","TEN","23.9","323.5","3.2","0.0","0.0","0.0","0.0","63.5"
"Chimere Dike","TEN","26.1","252.9","3.3","10.1","33.6","0.3","0.6","61.8"
"Jahan Dotson","ATL","28.7","358.2","1.9","0.0","0.0","0.0","0.2","60.9"
"Jaylin Noel","HOU","28.8","322.6","1.8","4.2","22.2","0.1","0.3","59.8"
"Pat Bryant","DEN","28.4","319.6","2.1","0.0","0.0","0.0","0.3","58.3"
"Savion Williams","GB","23.9","271.5","2.0","9.0","47.0","0.3","0.3","57.0"
"Joshua Palmer","BUF","25.9","337.7","1.6","0.0","0.0","0.0","0.1","56.3"
"Marvin Mims Jr.","DEN","24.2","272.4","1.6","8.2","45.1","0.3","0.4","54.7"
"KaVontae Turpin","DAL","18.2","229.9","1.7","17.7","102.5","0.4","0.4","54.5"
"Olamide Zaccheaus","ATL","30.1","277.1","1.8","1.5","9.5","0.0","0.1","54.5"
"Luke McCaffrey","WAS","20.2","289.4","2.6","0.0","0.0","0.0","0.1","54.4"
"Dontayvion Wicks","PHI","24.3","310.0","1.8","0.0","0.0","0.0","0.3","53.3"
"Xavier Hutchinson","HOU","23.2","280.5","1.9","2.1","14.2","0.0","0.1","52.4"
"Calvin Austin III","NYG","20.0","268.2","2.2","0.0","0.0","0.0","0.0","50.1"
"DeMario Douglas","NE","22.7","271.1","1.5","4.1","21.4","0.2","0.3","49.9"
"Elijah Sarratt","BAL","19.5","294.6","1.8","0.0","0.0","0.0","0.2","49.4"
"Keon Coleman","BUF","19.4","266.0","2.3","0.0","0.0","0.0","0.2","49.4"
"Jaylin Lane","WAS","22.7","279.2","1.8","0.0","0.0","0.0","0.2","49.4"
"Nick Westbrook-Ikhine","IND","21.7","269.6","2.0","0.0","0.0","0.0","0.2","49.3"
"Jahdae Walker","CHI","17.1","225.8","2.7","0.5","3.5","0.0","0.0","47.4"
"Demarcus Robinson","SF","17.6","252.5","1.6","0.5","2.5","0.0","0.0","44.0"
"Cedric Tillman","CLE","18.0","224.1","2.1","0.0","-0.5","0.0","0.0","43.9"
"Tutu Atwell","MIA","20.4","291.7","0.5","2.2","11.3","0.1","0.2","43.2"
"Kevin Coleman Jr.","MIA","21.1","270.5","0.7","0.0","0.0","0.0","0.2","41.2"
"Kendrick Bourne","ARI","22.8","239.4","0.7","0.0","0.0","0.0","0.2","38.9"
"Kalif Raymond","CHI","19.2","187.0","0.9","4.6","27.2","0.2","0.2","36.9"
"Cyrus Allen","KC","16.2","202.8","1.3","0.0","0.0","0.0","0.2","35.6"
"Skyler Bell","BUF","15.1","205.5","1.2","0.0","0.0","0.0","0.2","35.0"
"Bryce Lance","NO","16.4","204.4","0.9","0.0","0.0","0.0","0.2","33.9"
"Jordan Whittington","LAR","15.0","171.9","1.2","2.3","12.1","0.1","0.2","33.6"
"Devontez Walker","BAL","11.6","166.4","1.2","0.0","0.0","0.0","0.1","29.3"
"Zavion Thomas","CHI","12.5","153.6","1.2","0.0","0.0","0.0","0.1","28.7"
"Odell Beckham Jr.","NYG","13.3","164.3","0.9","0.3","1.4","0.0","0.1","28.5"
"Malachi Fields","NYG","13.2","157.5","0.9","0.0","0.0","0.0","0.1","27.4"
"Dont'e Thornton Jr.","LV","12.1","167.6","0.6","0.0","0.0","0.0","0.1","26.2"
"Isaiah Bond","CLE","9.9","130.1","0.8","4.3","23.5","0.1","0.1","25.4"
"Konata Mumpfield","LAR","9.9","126.7","1.2","0.0","0.0","0.0","0.1","24.3"
"Brenen Thompson","LAC","9.5","121.0","0.7","2.1","11.3","0.1","0.1","22.6"
"Mack Hollins","NE","10.8","126.7","0.8","0.0","0.0","0.0","0.1","22.6"
"KeAndre Lambert-Smith","LAC","9.6","121.0","0.9","0.0","0.0","0.0","0.1","21.8"
"Kyle Williams","NE","6.4","91.5","0.6","4.1","22.3","0.2","0.1","18.8"
"Tez Johnson","TB","6.7","77.6","0.6","4.4","23.3","0.2","0.1","18.1"
"Jimmy Horn Jr.","CAR","6.6","76.6","0.4","6.2","36.8","0.2","0.1","18.1"
"Mitch Tinsley","CIN","6.6","84.1","0.8","0.0","0.0","0.0","0.1","16.2"
"Jalen Royals","KC","6.8","78.0","0.6","0.0","0.0","0.0","0.1","14.8"
"Anthony Gould","IND","7.0","74.5","0.3","0.0","0.0","0.0","0.1","12.8"
"Malik Benson","LV","6.4","79.3","0.3","0.0","0.0","0.0","0.1","12.5"
"Greg Dortch","DET","4.1","39.8","0.3","4.6","24.0","0.4","0.1","12.1"
"Bo Melton","GB","2.9","37.5","0.3","4.5","26.0","0.1","0.1","10.0"
"Ben Skowronek","PIT","5.4","51.0","0.2","0.0","0.0","0.0","0.0","9.0"
"Tyrell Shavers","BUF","4.0","52.2","0.3","0.0","0.0","0.0","0.0","9.0"
"Derius Davis","LAC","3.5","37.9","0.3","2.1","11.0","0.1","0.1","8.5"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","43.8","0.2","0.1","8.3"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","8.1"
"Isaiah Williams","NYJ","3.8","35.8","0.1","2.2","12.7","0.1","0.1","8.1"
"Colbie Young","CIN","3.5","43.2","0.3","0.0","0.0","0.0","0.0","8.0"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","7.9"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","7.0"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","6.9"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","6.9"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"Barion Brown","NO","3.3","39.9","0.2","0.0","0.0","0.0","0.0","6.7"
"Laquon Treadwell","IND","3.5","36.9","0.2","0.0","0.0","0.0","0.0","6.5"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","6.4"
"Brycen Tremayne","CAR","3.3","36.5","0.2","0.0","0.0","0.0","0.0","6.3"
"Kaden Wetjen","PIT","1.6","18.8","0.1","2.1","11.7","0.1","0.0","4.8"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.4"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"JuJu Smith-Schuster","NYG","0.7","6.4","0.0","0.0","0.0","0.0","0.0","1.2"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
