"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Courtland Sutton","DEN","WR30","0.0","0.0","0.0","69.4","903.2","7.5","0.2","169.7"
"Chuba Hubbard","CAR","RB30","207.3","834.2","5.4","36.4","260.7","1.8","1.4","168.2"
"Rhamondre Stevenson","NE","RB31","168.5","733.6","6.5","36.8","309.8","1.6","2.1","167.5"
"Marvin Harrison Jr.","ARI","WR31","0.0","0.0","0.0","67.3","945.2","6.0","0.3","163.7"
"Christian Watson","GB","WR32","1.7","8.0","0.0","56.0","901.3","7.4","0.3","162.8"
"DK Metcalf","PIT","WR33","0.7","3.3","0.3","64.2","923.8","6.1","0.2","162.7"
"J.K. Dobbins","DEN","RB32","218.2","1021.1","6.6","17.7","94.3","0.6","0.7","161.8"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","83.0","871.6","5.4","0.3","160.7"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.5","881.0","4.7","0.1","155.9"
"RJ Harvey","DEN","RB33","130.5","495.7","4.6","46.6","344.3","3.5","0.8","154.6"
"Brian Thomas Jr.","JAC","WR34","2.7","18.0","0.4","58.0","868.7","5.3","0.2","151.8"
"Michael Pittman Jr.","PIT","WR35","0.0","0.0","0.0","80.5","803.7","5.0","0.3","149.7"
"Harold Fannin Jr.","CLE","TE6","0.0","0.0","0.0","77.7","801.1","5.4","0.8","149.7"
"Parker Washington","JAC","WR36","5.3","13.6","0.1","61.3","844.0","5.4","0.4","148.4"
"Sam LaPorta","DET","TE7","0.0","0.0","0.0","70.1","810.0","5.5","0.2","148.4"
"Jakobi Meyers","JAC","WR37","4.7","23.0","0.1","70.6","814.5","5.1","0.8","148.4"
"Carnell Tate","TEN","WR38","0.7","3.0","0.0","66.3","903.1","4.5","1.4","148.2"
"Rachaad White","WAS","RB34","140.2","618.6","5.4","38.9","262.4","1.6","0.8","147.8"
"Aaron Jones Sr.","MIN","RB35","160.0","682.8","3.6","41.0","303.4","1.7","1.6","147.6"
"Wan'Dale Robinson","TEN","WR39","2.0","9.5","0.1","83.0","833.8","3.6","0.3","147.4"
"Dallas Goedert","PHI","TE8","0.0","0.0","0.0","65.5","689.2","7.6","0.2","146.6"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","60.2","770.7","6.4","0.2","145.2"
"Jayden Reed","GB","WR40","12.0","86.6","0.1","63.1","757.9","4.8","0.4","144.9"
"Kyle Monangai","CHI","RB36","191.3","816.9","5.2","22.9","192.7","0.4","0.7","144.5"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","74.9","784.5","4.8","0.3","144.4"
"Deebo Samuel Sr.","SF","WR41","29.1","111.7","1.1","60.1","692.3","4.7","0.4","144.0"
"Kenny Gainwell","TB","RB37","113.6","498.5","3.9","49.7","352.2","2.0","0.9","143.4"
"Quentin Johnston","LAC","WR42","1.7","6.3","0.0","53.6","755.9","6.9","0.7","143.0"
"Michael Wilson","ARI","WR43","0.0","0.7","0.0","67.5","826.6","4.5","0.2","142.9"
"Chris Godwin Jr.","TB","WR44","0.3","0.3","0.0","67.8","774.2","5.2","0.3","141.9"
"Jordan Addison","MIN","WR45","2.7","37.1","0.4","55.2","757.8","5.4","0.2","141.3"
"Jordyn Tyson","NO","WR46","0.7","3.0","0.0","63.2","857.2","4.3","1.3","140.9"
"Stefon Diggs","WAS","WR47","0.5","1.0","0.0","66.5","773.5","5.0","0.0","140.7"
"Xavier Worthy","KC","WR48","15.5","99.3","0.9","55.2","721.6","4.2","0.2","139.7"
"George Kittle","SF","TE11","0.0","0.0","0.0","64.9","740.2","5.4","0.2","138.6"
"Jacory Croskey-Merritt","WAS","RB38","182.6","821.1","7.5","11.2","79.5","0.2","1.7","138.0"
"Josh Downs","IND","WR49","1.4","4.3","0.0","75.9","736.7","4.3","0.8","136.4"
