"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Frank Gore Jr.","BUF","RB78","37.0","174.0","2.0","3.0","26.0","0.0","0.0","33.5"
"Roschon Johnson","CHI","RB79","34.0","116.0","3.0","3.0","17.0","0.0","0.0","32.8"
"Ollie Gordon II","MIA","RB80","49.4","202.8","1.2","3.9","27.8","0.1","0.2","32.7"
"Ray Davis","BUF","RB81","32.3","137.8","1.1","7.8","60.0","0.4","0.2","32.0"
"Jeremy Ruckert","NYJ","TE63","0.0","0.0","0.0","19.7","145.8","1.3","0.0","32.0"
"Emmett Johnson","KC","RB82","39.7","165.6","1.3","5.2","41.1","0.2","0.1","31.9"
"DJ Giddens","IND","RB83","33.6","141.5","1.0","8.6","56.8","0.3","0.2","31.6"
"Ty Chandler","NO","RB84","51.0","138.0","1.0","12.0","58.0","0.0","0.0","31.6"
"Mitchell Evans","CAR","TE64","0.0","0.0","0.0","15.0","139.1","1.5","0.1","30.2"
"Nate Boerkircher","JAC","TE65","0.0","0.0","0.0","14.9","155.3","1.3","0.5","29.6"
"Devontez Walker","BAL","WR132","0.0","0.0","0.0","11.6","166.4","1.2","0.1","29.3"
"Jonah Coleman","DEN","RB85","28.3","118.4","0.9","8.1","58.6","0.3","0.1","28.7"
"Zavion Thomas","CHI","WR133","0.0","0.0","0.0","12.5","153.6","1.2","0.1","28.7"
"Odell Beckham Jr.","NYG","WR134","0.3","1.4","0.0","13.3","164.3","0.9","0.1","28.5"
"Malachi Fields","NYG","WR135","0.0","0.0","0.0","13.2","157.5","0.9","0.1","27.4"
"Brashard Smith","KC","RB86","25.0","89.5","0.5","10.5","71.0","0.5","0.0","27.3"
"Nick Vannett","SEA","TE66","0.0","0.0","0.0","10.0","95.0","2.0","0.0","26.5"
"Drew Sample","CIN","TE67","0.0","0.0","0.0","15.1","123.1","1.1","0.1","26.2"
"Dont'e Thornton Jr.","LV","WR136","0.0","0.0","0.0","12.1","167.6","0.6","0.1","26.2"
"Nate Adkins","DEN","TE68","0.0","0.0","0.0","11.9","88.8","1.8","0.0","25.8"
"Ben Sinnott","WAS","TE69","0.0","0.0","0.0","11.8","116.0","1.4","0.0","25.7"
"Phil Mafah","DAL","RB87","32.0","142.0","1.0","4.0","34.0","0.0","0.0","25.6"
"Cade Stover","HOU","TE70","0.0","0.0","0.0","15.2","128.1","0.9","0.1","25.5"
"Isaiah Bond","CLE","WR137","4.3","23.5","0.1","9.9","130.1","0.8","0.1","25.4"
"Jackson Hawes","BUF","TE71","0.0","0.0","0.0","10.6","115.1","1.4","0.0","25.4"
"Elijah Mitchell","PHI","RB88","35.0","159.0","1.0","2.0","22.0","0.0","0.0","25.1"
"Jam Miller","NE","RB89","34.0","156.0","1.0","2.0","25.0","0.0","0.0","25.1"
"Zack Kuntz","DAL","TE72","0.0","0.0","0.0","12.0","128.0","1.0","0.0","24.8"
"Jack Endries","CIN","TE73","0.0","0.0","0.0","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","TE74","0.0","0.0","0.0","13.2","121.6","0.9","0.0","24.4"
"Konata Mumpfield","LAR","WR138","0.0","0.0","0.0","9.9","126.7","1.2","0.1","24.3"
"Will Mallory","IND","TE75","0.0","0.0","0.0","11.0","126.0","1.0","0.0","24.1"
"Hayden Rucci","SF","TE76","0.0","0.0","0.0","12.0","118.0","1.0","0.0","23.8"
"Jeremy McNichols","WAS","RB90","17.0","88.0","1.0","7.0","55.0","0.0","0.0","23.8"
"Charlie Woerner","ATL","TE77","0.0","0.0","0.0","14.5","127.3","0.6","0.0","23.5"
"Grant Calcaterra","PHI","TE78","0.0","0.0","0.0","11.0","115.5","1.0","0.0","23.1"
"Foster Moreau","HOU","TE79","0.0","0.0","0.0","9.3","105.6","1.3","0.0","22.9"
"Teagan Quitoriano","ARI","TE80","0.0","0.0","0.0","12.0","109.0","1.0","0.0","22.9"
"Salvon Ahmed","CHI","RB91","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.9"
"Tanner Hudson","CIN","TE81","0.0","0.0","0.0","13.1","110.3","0.9","0.1","22.7"
"Jarquez Hunter","LAR","RB92","33.0","148.0","1.0","1.0","14.0","0.0","0.0","22.7"
"Brenen Thompson","LAC","WR139","2.1","11.3","0.1","9.5","121.0","0.7","0.1","22.6"
"Mack Hollins","NE","WR140","0.0","0.0","0.0","10.8","126.7","0.8","0.1","22.6"
"Israel Abanikanda","DAL","RB93","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.6"
"Tanner Conner","NYG","TE82","0.0","0.0","0.0","10.0","113.0","1.0","0.0","22.3"
"Dameon Pierce","PHI","RB94","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Audric Estime","NO","RB95","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Demond Claiborne","MIN","RB96","27.7","121.6","0.9","3.3","25.2","0.1","0.1","22.0"
"Donovan Edwards","MIA","RB97","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Carlos Washington Jr.","MIA","RB98","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Will Shipley","PHI","RB99","9.3","39.6","0.3","11.3","83.5","0.4","0.1","21.9"
"KeAndre Lambert-Smith","LAC","WR141","0.0","0.0","0.0","9.6","121.0","0.9","0.1","21.8"
"Mo Alie-Cox","IND","TE83","0.0","0.0","0.0","10.8","111.0","0.9","0.1","21.7"
"Seth McGowan","IND","RB100","22.3","97.1","1.2","3.2","26.9","0.1","0.0","21.6"
"Najee Harris","LAC","RB101","28.0","126.0","1.0","2.0","18.0","0.0","0.0","21.4"
"Thomas Fidone II","NYG","TE84","0.0","0.0","0.0","10.0","102.0","1.0","0.0","21.2"
"Jared Wiley","KC","TE85","0.0","0.0","0.0","11.0","96.0","1.0","0.0","21.1"
"Hunter Luepke","DAL","RB102","13.3","56.1","0.4","8.6","61.7","0.4","0.1","20.7"
"Connor Heyward","LV","TE86","4.2","17.6","0.1","9.0","65.9","1.1","0.0","20.0"
"Kaytron Allen","WAS","RB103","23.6","110.8","0.7","3.1","25.4","0.1","0.0","19.9"
"Seydou Traore","MIA","TE87","0.0","0.0","0.0","9.0","88.0","1.0","0.0","19.3"
"Kyle Williams","NE","WR142","4.1","22.3","0.2","6.4","91.5","0.6","0.1","18.8"
"Durham Smythe","BAL","TE88","0.0","0.0","0.0","9.8","94.1","0.7","0.1","18.7"
"Tahj Brooks","CIN","RB104","30.6","129.4","0.9","0.0","0.0","0.0","0.1","18.3"
"Tez Johnson","TB","WR143","4.4","23.3","0.2","6.7","77.6","0.6","0.1","18.1"
"Jimmy Horn Jr.","CAR","WR144","6.2","36.8","0.2","6.6","76.6","0.4","0.1","18.1"
"Devin Neal","NO","RB105","22.5","90.0","1.0","2.5","17.5","0.0","0.0","18.0"
"Devin Singletary","NYG","RB106","22.3","89.2","0.6","4.2","26.3","0.1","0.1","17.7"
"Nicholas Singleton","TEN","RB107","20.3","83.4","0.6","4.3","29.9","0.2","0.1","17.5"
"Jerome Ford","WAS","RB108","17.5","97.0","0.5","4.0","24.0","0.0","0.0","17.1"
"Mitch Tinsley","CIN","WR145","0.0","0.0","0.0","6.6","84.1","0.8","0.1","16.2"
"Max Klare","LAR","TE89","0.0","0.0","0.0","7.5","82.6","0.7","0.0","16.1"
"Joe Royer","CLE","TE90","0.0","0.0","0.0","8.3","79.1","0.7","0.0","16.0"
"Tyler Badie","DEN","RB109","4.1","17.7","0.1","8.0","65.5","0.4","0.1","15.1"
"Justin Joly","DEN","TE91","0.0","0.0","0.0","8.0","71.4","0.7","0.0","15.0"
"Oscar Delp","NO","TE92","0.0","0.0","0.0","7.5","75.7","0.6","0.0","15.0"
"Jalen Royals","KC","WR146","0.0","0.0","0.0","6.8","78.0","0.6","0.1","14.8"
"Devin Culp","TB","TE93","0.0","0.0","0.0","5.5","59.0","1.0","0.0","14.7"
"Tanner Koziol","JAC","TE94","0.0","0.0","0.0","7.0","73.3","0.6","0.0","14.6"
"Payne Durham","TB","TE95","0.0","0.0","0.0","7.2","70.7","0.6","0.1","14.4"
"Sam Roush","CHI","TE96","0.0","0.0","0.0","6.8","70.9","0.6","0.0","14.3"
"Isaac Guerendo","SF","RB110","16.5","80.0","0.5","2.0","18.5","0.0","0.0","13.9"
"Michael Burton","CLE","RB111","6.6","13.3","0.6","5.1","32.2","0.6","0.0","13.8"
"Tip Reiman","ARI","TE97","0.0","0.0","0.0","7.9","62.2","0.6","0.0","13.8"
"Josh Cuevas","BAL","TE98","0.0","0.0","0.0","5.7","66.4","0.6","0.0","13.3"
"Ian Thomas","LV","TE99","0.0","0.0","0.0","6.9","62.0","0.6","0.0","13.1"
"Hunter Long","JAC","TE100","0.0","0.0","0.0","5.0","44.5","1.0","0.0","13.0"
"Trevor Etienne","CAR","RB112","12.3","52.5","0.3","4.1","29.7","0.2","0.1","12.8"
"Anthony Gould","IND","WR147","0.0","0.0","0.0","7.0","74.5","0.3","0.1","12.8"
"Malik Benson","LV","WR148","0.0","0.0","0.0","6.4","79.3","0.3","0.1","12.5"
"Andrew Beck","NYJ","TE101","0.5","4.0","0.0","4.6","31.6","1.1","0.0","12.5"
"Alec Ingold","LAC","RB113","2.1","8.6","0.1","7.9","58.3","0.2","0.1","12.4"
"Greg Dortch","DET","WR149","4.6","24.0","0.4","4.1","39.8","0.3","0.1","12.1"
"Lucas Krull","DEN","TE102","0.0","0.0","0.0","6.0","44.5","0.5","0.0","10.5"
"Bo Melton","GB","WR150","4.5","26.0","0.1","2.9","37.5","0.3","0.1","10.0"
"Cole Turner","MIA","TE103","0.0","0.0","0.0","4.5","44.0","0.5","0.0","9.7"
"Ben Skowronek","PIT","WR151","0.0","0.0","0.0","5.4","51.0","0.2","0.0","9.0"
"Tyrell Shavers","BUF","WR152","0.0","0.0","0.0","4.0","52.2","0.3","0.0","9.0"
"Derius Davis","LAC","WR153","2.1","11.0","0.1","3.5","37.9","0.3","0.1","8.5"
"Adam Prentice","DEN","RB114","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Malachi Corley","CLE","WR154","6.4","43.8","0.2","1.7","16.5","0.1","0.1","8.3"
"Xavier Smith","LAR","WR155","0.0","0.0","0.0","3.6","44.4","0.3","0.0","8.1"
"Isaiah Williams","NYJ","WR156","2.2","12.7","0.1","3.8","35.8","0.1","0.1","8.1"
"Colbie Young","CIN","WR157","0.0","0.0","0.0","3.5","43.2","0.3","0.0","8.0"
"CJ Daniels","LAR","WR158","0.0","0.0","0.0","3.4","42.8","0.3","0.0","7.9"
"Luke Farrell","SF","TE104","0.0","0.0","0.0","4.2","40.7","0.3","0.0","7.9"
"Brevyn Spann-Ford","DAL","TE105","0.0","0.0","0.0","3.9","36.8","0.3","0.0","7.5"
"Max Bredeson","MIN","RB115","2.0","8.5","0.1","4.5","29.4","0.2","0.0","7.4"
"Ko Kieft","TB","TE106","0.0","0.0","0.0","3.7","36.1","0.3","0.0","7.2"
"CJ Dippre","NE","TE107","0.0","0.0","0.0","3.9","37.3","0.3","0.0","7.2"
"Kendre Miller","NO","RB116","12.9","54.8","0.3","0.0","0.0","0.0","0.0","7.2"
"Tyler Conklin","DET","TE108","0.0","0.0","0.0","3.7","38.0","0.3","0.0","7.1"
"Justin Watson","HOU","WR159","0.0","0.0","0.0","3.1","41.6","0.2","0.0","7.0"
"Jonathan Mingo","DAL","WR160","0.0","0.0","0.0","2.9","40.6","0.3","0.0","6.9"
"Tai Felton","MIN","WR161","0.0","0.0","0.0","3.7","37.1","0.2","0.0","6.9"
"Eric Saubert","SEA","TE109","0.0","0.0","0.0","3.4","34.4","0.3","0.0","6.9"
"Drew Ogletree","IND","TE110","0.0","0.0","0.0","3.7","35.4","0.3","0.0","6.9"
"Darius Cooper","PHI","WR162","0.0","0.0","0.0","3.3","37.7","0.3","0.0","6.8"
"Barion Brown","NO","WR163","0.0","0.0","0.0","3.3","39.9","0.2","0.0","6.7"
"Laquon Treadwell","IND","WR164","0.0","0.0","0.0","3.5","36.9","0.2","0.0","6.5"
"Johnny Mundt","PHI","TE111","0.0","0.0","0.0","3.5","35.4","0.2","0.0","6.5"
"Reggie Virgil","ARI","WR165","0.0","0.0","0.0","3.4","39.3","0.1","0.0","6.4"
"Brycen Tremayne","CAR","WR166","0.0","0.0","0.0","3.3","36.5","0.2","0.0","6.3"
"Riley Nowakowski","PIT","TE112","0.0","0.0","0.0","4.3","29.1","0.2","0.0","6.0"
"Reggie Gilliam","NE","RB117","0.0","0.0","0.0","4.1","29.8","0.2","0.0","5.9"
"Jack Stoll","CLE","TE113","0.0","0.0","0.0","3.6","30.3","0.2","0.0","5.7"
"Patrick Ricard","NYG","RB118","0.0","0.0","0.0","4.0","26.9","0.1","0.0","5.5"
"Kaleb Johnson","PIT","RB119","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Kaden Wetjen","PIT","WR167","2.1","11.7","0.1","1.6","18.8","0.1","0.0","4.8"
"Arian Smith","NYJ","WR168","4.3","23.7","0.2","0.0","0.0","0.0","0.0","3.4"
"Chris Manhertz","NYG","TE114","0.0","0.0","0.0","1.8","16.3","0.1","0.0","3.2"
"British Brooks","HOU","RB120","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Kameron Johnson","TB","WR169","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"JuJu Smith-Schuster","NYG","WR170","0.0","0.0","0.0","0.7","6.4","0.0","0.0","1.2"
"David Moore","CAR","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","WR178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","WR179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","WR180","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","WR190","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","TE117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","RB121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","RB123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","RB126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","RB127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
